City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Nishihara,JP,26.1842,127.7558,74.86,94,100,8.05,overcast clouds
115,Hualmay,PE,-11.0964,-77.6139,68.43,76,18,10.49,few clouds
116,Carnarvon,AU,-24.8667,113.6333,65.32,61,0,20.38,clear sky
117,Lebu,CL,-37.6167,-73.65,53.06,68,47,19.19,scattered clouds
118,Castro,BR,-24.7911,-50.0119,66.06,70,0,1.34,clear sky
119,Bethel,US,41.3712,-73.414,80.19,68,75,10.36,broken clouds
120,Eureka,US,40.8021,-124.1637,62.19,90,100,7.0,overcast clouds
121,Sibolga,ID,1.7427,98.7792,76.98,86,42,3.53,scattered clouds
122,Chuy,UY,-33.6971,-53.4616,61.09,65,95,5.55,overcast clouds
123,Trinidad,BO,-14.8333,-64.9,87.78,58,20,9.22,few clouds
124,Kolvereid,NO,64.8655,11.6047,42.03,86,100,10.96,light rain
125,Kahului,US,20.8947,-156.47,82.42,44,20,11.99,few clouds
126,Cienaga,CO,11.007,-74.2476,91.53,62,100,6.91,overcast clouds
127,Nauta,PE,-4.5061,-73.5757,81.59,87,78,2.19,broken clouds
128,Gillette,US,44.2911,-105.5022,62.11,33,40,18.41,scattered clouds
129,Buluang,PH,13.3068,123.3425,76.69,93,100,3.6,overcast clouds
130,Poum,NC,-20.2333,164.0167,76.41,75,97,28.74,overcast clouds
131,Laela,TZ,-8.5667,32.05,57.54,86,14,4.27,few clouds
132,Tokonou,GN,9.65,-9.7833,75.36,75,80,5.82,broken clouds
133,Kamaishi,JP,39.2667,141.8833,59.38,99,100,4.34,light rain
134,Changping,CN,40.2186,116.2197,47.84,36,52,5.97,broken clouds
135,Bandarbeyla,SO,9.4942,50.8122,82.44,86,98,19.69,overcast clouds
136,Gamba,GA,-2.65,10.0,77.65,93,100,5.46,overcast clouds
137,Mataura,NZ,-46.1927,168.8643,52.48,97,100,3.36,light rain
138,Barrow,US,71.2906,-156.7887,17.62,86,100,13.8,light snow
139,Neepawa,CA,50.2289,-99.4664,54.0,89,100,19.3,overcast clouds
140,Kandrian,PG,-6.2167,149.55,77.13,85,44,3.11,scattered clouds
141,Plyussa,RU,58.4308,29.3654,46.99,77,87,9.93,overcast clouds
142,Husavik,IS,66.0449,-17.3389,32.02,88,100,5.93,overcast clouds
143,Udachnyy,RU,66.4167,112.4,26.46,58,99,3.04,overcast clouds
144,Pokhara,NP,28.2333,83.9833,73.09,65,88,6.55,overcast clouds
145,Boueni,YT,-12.9025,45.0761,78.78,69,0,3.69,clear sky
146,Hithadhoo,MV,-0.6,73.0833,82.45,72,100,5.55,overcast clouds
147,Kavieng,PG,-2.5744,150.7967,81.43,75,66,10.31,broken clouds
148,Hryshkivtsi,UA,49.9353,28.6038,56.34,77,100,6.58,overcast clouds
149,Nantucket,US,41.2835,-70.0995,69.94,82,100,8.05,mist
150,Nenagh,IE,52.8619,-8.1967,56.93,84,95,8.41,overcast clouds
151,Saint-Jean-Port-Joli,CA,47.2171,-70.2658,86.68,67,8,22.24,clear sky
152,Necochea,AR,-38.5473,-58.7368,55.26,81,54,10.49,broken clouds
153,Haines Junction,CA,60.7522,-137.5108,49.95,32,100,6.91,overcast clouds
154,Charagua,BO,-19.8,-63.2167,87.37,43,0,13.31,clear sky
155,Leningradskiy,RU,69.3833,178.4167,29.43,76,4,5.28,clear sky
156,Pemangkat,ID,1.1667,108.9667,78.78,80,100,3.62,overcast clouds
157,Umm Lajj,SA,25.0213,37.2685,83.68,59,0,5.93,clear sky
158,Chara,RU,56.9064,118.2631,36.88,79,91,4.43,overcast clouds
159,Severo-Kurilsk,RU,50.6789,156.125,38.73,96,100,15.52,overcast clouds
160,San Rafael,AR,-34.6177,-68.3301,55.62,55,87,2.64,overcast clouds
161,Manokwari,ID,-0.8667,134.0833,79.92,76,92,4.7,overcast clouds
162,Canon City,US,38.441,-105.2424,75.56,15,0,10.36,clear sky
163,San Juan,AR,-31.5375,-68.5364,66.9,53,30,17.96,scattered clouds
164,Bengbu,CN,32.9408,117.3608,53.8,77,100,2.91,overcast clouds
165,Butaritari,KI,3.0707,172.7902,80.62,74,99,8.9,overcast clouds
166,San Cristobal,VE,7.7669,-72.225,84.38,54,83,7.52,broken clouds
167,Hamilton,US,39.1834,-84.5333,85.98,47,20,8.05,few clouds
168,Sinnamary,GF,5.3833,-52.95,81.3,78,21,10.98,few clouds
169,La Ronge,CA,55.1001,-105.2842,46.62,49,100,11.5,overcast clouds
170,Nacala,MZ,-14.5428,40.6728,71.62,86,44,6.02,scattered clouds
171,Lumsden,CA,50.6501,-104.8678,44.01,95,100,23.24,overcast clouds
172,Cottonwood,US,34.7392,-112.0099,89.37,5,0,3.0,clear sky
173,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,41,20,18.41,few clouds
174,Tasiilaq,GL,65.6145,-37.6368,30.36,62,50,2.13,scattered clouds
175,Sohag,EG,26.557,31.6948,95.29,13,0,2.44,clear sky
176,Jinchang,CN,38.4953,102.1739,41.88,81,97,8.12,overcast clouds
177,Ketchikan,US,55.3422,-131.6461,46.87,81,100,16.11,overcast clouds
178,Hornepayne,CA,49.2138,-84.7705,84.0,42,19,11.36,few clouds
179,Hasaki,JP,35.7333,140.8333,70.29,92,100,28.16,moderate rain
180,Sakakah,SA,29.9697,40.2064,81.97,17,0,4.34,clear sky
181,Hutchinson,US,38.0608,-97.9298,80.55,59,40,16.11,scattered clouds
182,Vila Velha,BR,-20.3297,-40.2925,78.75,73,40,12.66,scattered clouds
183,Derzhavinsk,KZ,51.1,66.3167,55.33,63,25,9.33,scattered clouds
184,Kendari,ID,-3.945,122.4989,75.52,94,100,2.24,overcast clouds
185,Mozhaysk,RU,55.5019,36.0272,45.95,79,11,9.78,few clouds
186,Nurota,UZ,40.5614,65.6886,63.81,61,70,3.98,broken clouds
187,Morada Nova,BR,-5.1067,-38.3725,80.33,78,95,9.33,overcast clouds
188,Tarime,TZ,-1.35,34.3667,62.22,93,61,3.15,broken clouds
189,Adrar,MR,20.5022,-10.0711,93.13,9,32,8.63,scattered clouds
190,Banda Aceh,ID,5.5577,95.3222,81.07,82,100,7.74,overcast clouds
191,Talcahuano,CL,-36.7167,-73.1167,58.68,63,0,12.66,clear sky
192,Berlevag,NO,70.8578,29.0864,35.55,75,40,16.11,scattered clouds
193,Geraldton,AU,-28.7667,114.6,61.21,77,100,8.05,overcast clouds
194,Tiksi,RU,71.6872,128.8694,14.36,90,28,11.39,scattered clouds
195,Sioux Lookout,CA,50.1001,-91.917,68.07,68,20,14.97,few clouds
196,Ouadda,CF,8.0777,22.4007,70.93,87,53,3.42,broken clouds
197,Fukagawa,JP,43.7081,142.0392,56.55,95,100,3.51,moderate rain
198,Port Hedland,AU,-20.3167,118.5667,73.45,100,75,8.05,broken clouds
199,Sudislavl,RU,57.8817,41.7083,47.21,83,100,14.47,overcast clouds
200,Calvinia,ZA,-31.4707,19.776,45.59,80,10,2.62,clear sky
201,Tambopata,PE,-12.7333,-69.1833,87.69,55,40,2.3,scattered clouds
202,Camana,PE,-16.6228,-72.7111,68.58,72,31,9.26,scattered clouds
203,Wadi Maliz,TN,36.4681,8.5495,78.46,42,1,3.44,clear sky
204,Cidreira,BR,-30.1811,-50.2056,64.02,72,34,5.08,scattered clouds
205,Salalah,OM,17.0151,54.0924,86.09,66,0,5.75,clear sky
206,Lagoa,PT,39.05,-27.9833,59.45,77,100,2.17,light rain
207,Katsuura,JP,35.1333,140.3,68.02,95,100,25.21,light rain
208,Cockburn Town,TC,21.4612,-71.1419,79.12,85,100,23.06,overcast clouds
209,Ponta Delgada,PT,37.7333,-25.6667,63.32,82,40,11.5,scattered clouds
210,Meadow Lake,US,34.8014,-106.5436,80.69,5,0,8.93,clear sky
211,Carman,CA,49.4992,-98.0016,55.74,67,100,34.52,overcast clouds
212,Bengkulu,ID,-3.8004,102.2655,77.5,89,22,4.09,few clouds
213,Izhevskoye,RU,54.5567,40.8703,46.54,85,11,9.44,few clouds
214,Cherskiy,RU,68.75,161.3,37.0,73,40,13.89,scattered clouds
215,Saldanha,ZA,-33.0117,17.9442,55.45,66,90,5.97,overcast clouds
216,Touros,BR,-5.1989,-35.4608,79.92,82,80,11.16,moderate rain
217,Ust-Koksa,RU,50.2696,85.6108,47.71,61,14,2.08,few clouds
