City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
105,Coihaique,CL,2022-05-12 21:22:54,-45.5752,-72.0662,47.01,93,100,3.44
106,Raga,SS,2022-05-12 21:22:55,8.4596,25.678,70.93,84,100,5.95
107,Cabo San Lucas,MX,2022-05-12 21:18:02,22.8909,-109.9124,96.62,51,17,6.17
108,Barrow,US,2022-05-12 21:16:02,71.2906,-156.7887,26.62,80,100,9.22
109,Port Alfred,ZA,2022-05-12 21:16:03,-33.5906,26.891,62.51,82,1,13.33
110,Bethel,US,2022-05-12 21:14:35,41.3712,-73.414,80.42,62,0,9.22
111,Ponta Delgada,PT,2022-05-12 21:22:57,37.7333,-25.6667,62.51,67,20,10.36
112,Saldanha,ZA,2022-05-12 21:22:57,-33.0117,17.9442,50.05,75,84,7.09
113,Vaini,TO,2022-05-12 21:16:18,-21.2,-175.2,73.56,64,75,11.5
114,Hobart,AU,2022-05-12 21:16:17,-42.8794,147.3294,49.01,94,0,8.05
115,Timmins,CA,2022-05-12 21:22:58,48.4669,-81.3331,64.22,88,100,5.75
116,Leningradskiy,RU,2022-05-12 21:22:59,69.3833,178.4167,24.1,77,21,5.57
117,Kahului,US,2022-05-12 21:22:59,20.8947,-156.47,86.02,37,40,20.71
118,Quatre Cocos,MU,2022-05-12 21:23:00,-20.2078,57.7625,73.51,86,20,10.07
119,Minot,US,2022-05-12 21:23:00,48.2325,-101.2963,62.71,67,100,14.97
120,Khasan,RU,2022-05-12 21:23:01,42.4308,130.6434,46.74,74,94,5.03
121,Sakakah,SA,2022-05-12 21:23:01,29.9697,40.2064,72.97,21,0,7.47
122,Souillac,MU,2022-05-12 21:23:02,-20.5167,57.5167,73.78,88,40,5.75
123,Longyearbyen,SJ,2022-05-12 21:23:03,78.2186,15.6401,19.24,58,0,8.05
124,Pekan,MY,2022-05-12 21:23:04,3.4836,103.3996,75.31,92,100,2.98
